"","Gene","ES_MeanTPM","IPS_MeanTPM","ES_Log2","IPS_Log2","Log2FoldChange","ABSV_Log2"
"14152","MYO5BP1",0.002,0.00151515151515152,-8.96578428466209,-9.36632221424582,-0.400537929583729,0.400537929583729
"14153","GAPDHP20",0.0346666666666667,0.0457575757575758,-4.85030706724215,-4.4498455698081,0.400461497434052,0.400461497434052
"14154","DSTN",205.347666666667,271.044363636364,7.68192474406733,8.08238519618773,0.400460452120409,0.400460452120409
"14155","NCAPD3",40.497,30.6827272727273,5.33974313262709,4.93935481918736,-0.400388313439736,0.400388313439736
"14156","GSK3A",62.242,47.1597272727273,5.95981651356178,5.55948347004512,-0.40033304351666,0.40033304351666
"14157","PNO1",34.0813333333333,44.9796363636364,5.09090987281496,5.4912000926305,0.400290219815543,0.400290219815543
"14158","HOMER2",18.188,13.7827575757576,4.18491500408245,3.7847926580284,-0.400122346054056,0.400122346054056
"14159","SMOC1",3.45766666666667,4.56260606060606,1.78979879392915,2.18985809561031,0.400059301681155,0.400059301681155
"14160","NCOR2",79.2856666666667,60.0881818181818,6.3089881726961,5.909009363546,-0.399978809150094,0.399978809150094
"14161","ERC1",17.0936666666667,12.955,4.09538998952719,3.69543711040537,-0.399952879121825,0.399952879121825
"14162","ATP5G1P4",1.432,1.88939393939394,0.518031492602169,0.917923535583854,0.399892042981685,0.399892042981685
"14163","MAP6D1",4.723,3.57963636363636,2.23970353548848,1.83981303915878,-0.399890496329703,0.399890496329703
"14164","MGST3",106.336333333333,140.296424242424,6.73249081546443,7.13233442900009,0.399843613535664,0.399843613535664
